current_path,current_relation,current_layer,current_grain,current_owner,current_consumers,current_materialization,current_tests,target_action,target_relation,target_layer,target_interface,compatibility_method,synthetic_source_family,route_c_value,evidence_status,notes
dbt_neobank/models/staging/stg_onboarding_events.sql,stg_onboarding_events,staging,one row per onboarding event,growth,fct_onboarding_funnel,view,3,migrate,nrm_application_event,normalised,growth_acquisition,compatibility_view,application_kyc_account,high,verified-local,Funnel steps become canonical application lifecycle events
dbt_neobank/models/staging/stg_protection_events.sql,stg_protection_events,staging,one row per protection event,protection,fct_protection_events,view,3,preserve,stg_protection_events,staging,none,not_required,none,medium,verified-local,Supportive protection simulation retained
dbt_neobank/models/intermediate/int_user_activation.sql,int_user_activation,intermediate,one row per user,growth,fct_activation; activation model,table,2,migrate,lgl_growth_acquisition,logical,growth_acquisition,compatibility_view,activation_funding,high,verified-local,Activation state becomes governed logical interface derived from account events
dbt_neobank/models/intermediate/int_user_first_transaction.sql,int_user_first_transaction,intermediate,one row per user,growth,int_user_activation,table,3,migrate,nrm_account_event,normalised,growth_acquisition,compatibility_view,activation_funding,high,verified-local,First funding becomes the account-funded canonical event
dbt_neobank/models/intermediate/int_user_weekly_activity.sql,int_user_weekly_activity,intermediate,one row per user-week,growth,fct_weekly_engagement; fct_retention_cohorts,table,2,preserve,int_user_weekly_activity,intermediate,none,not_required,none,low,verified-local,Engagement rollup outside the event boundary
dbt_neobank/models/marts/experiments/dim_experiment.sql,dim_experiment,marts,one row per experiment,growth,Experiments tab; release engine,table,2,downstream_consumer,dim_experiment,presentation,growth_acquisition,not_required,experiment,medium,verified-local,Reads governed interfaces in Route C; no logic duplication permitted
dbt_neobank/models/marts/experiments/fct_experiment_user_metrics.sql,fct_experiment_user_metrics,marts,one row per user-experiment,growth,Experiments tab; release engine; fairness analysis,table,4,downstream_consumer,fct_experiment_user_metrics,presentation,growth_acquisition,not_required,experiment,high,verified-local,Existing experiment consumer must be servable entirely from governed interfaces (G0.4 anchor consumer)
dbt_neobank/models/marts/finance/fct_user_clv_proxy.sql,fct_user_clv_proxy,marts,one row per user,finance,Pricing tab; decision pack,table,3,preserve,fct_user_clv_proxy,marts,none,not_required,none,low,verified-local,Illustrative CLV proxy; explicitly not part of the bounded referral-reward Finance proof
dbt_neobank/models/marts/geo/fct_region_daily_referrals.sql,fct_region_daily_referrals,marts,one row per region-day,growth,geo DiD; synthetic control,table,3,downstream_consumer,fct_region_daily_referrals,presentation,referral_economics,not_required,referral_reward,high,verified-local,Geo incrementality consumer of the referral interface
dbt_neobank/models/marts/geo/fct_region_daily_signups.sql,fct_region_daily_signups,marts,one row per region-day,growth,geo DiD,table,3,downstream_consumer,fct_region_daily_signups,presentation,growth_acquisition,not_required,none,medium,verified-local,Geo signups consumer
dbt_neobank/models/marts/pricing/fct_offer_exposures.sql,fct_offer_exposures,marts,one row per exposure,pricing,Pricing tab; API,table,4,preserve,fct_offer_exposures,marts,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/marts/pricing/fct_pricing_outcomes.sql,fct_pricing_outcomes,marts,one row per exposure,pricing,Pricing tab; API,table,3,preserve,fct_pricing_outcomes,marts,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/marts/pricing/mart_pricing_recommendations.sql,mart_pricing_recommendations,marts,one row per offer,pricing,Pricing tab; fair-value governance; API,table,2,preserve,mart_pricing_recommendations,marts,none,not_required,none,medium,verified-local,Preserved consumer domain
dbt_neobank/models/marts/product/fct_activation.sql,fct_activation,marts,one row per user,growth,Product health tab; activation model; API scoring,table,4,migrate,prs_growth_acquisition,presentation,growth_acquisition,compatibility_view,activation_funding,high,verified-local,Core Growth path; old relation preserved as compatibility view until consumers verify
dbt_neobank/models/marts/product/fct_customer_outcomes.sql,fct_customer_outcomes,marts,one row per user,governance,Customer outcomes tab; release engine,table,4,migrate,prs_growth_acquisition,presentation,growth_acquisition,compatibility_view,customer_outcome,high,verified-local,Outcome guardrail joins canonical outcome events; compatibility view retains grain and columns
dbt_neobank/models/marts/product/fct_feature_adoption.sql,fct_feature_adoption,marts,one row per feature-week,growth,Product health tab,table,1,preserve,fct_feature_adoption,marts,none,not_required,none,low,verified-local,Engagement mart outside the event boundary
dbt_neobank/models/marts/product/fct_onboarding_funnel.sql,fct_onboarding_funnel,marts,one row per funnel step-segment,growth,Digital inclusion tab,table,4,migrate,lgl_growth_acquisition,logical,growth_acquisition,compatibility_view,application_kyc_account,high,verified-local,Funnel rebuilt from application events; inclusion tab keeps its contract via compatibility view
dbt_neobank/models/marts/product/fct_protection_events.sql,fct_protection_events,marts,one row per protection event,protection,Customer protection tab,table,3,preserve,fct_protection_events,marts,none,not_required,none,medium,verified-local,Supportive simulation consumer retained
dbt_neobank/models/marts/product/fct_retention_cohorts.sql,fct_retention_cohorts,marts,one row per signup-week and activity-week,growth,Product health tab,table,2,preserve,fct_retention_cohorts,marts,none,not_required,none,low,verified-local,Retention rollup outside the event boundary
dbt_neobank/models/marts/product/fct_weekly_engagement.sql,fct_weekly_engagement,marts,one row per week,growth,Product health tab,table,2,preserve,fct_weekly_engagement,marts,none,not_required,none,low,verified-local,Engagement rollup outside the event boundary
